"","Year","MDACoverageAttempted","MDANumRounds","MDADrugs","MDADrugEfficacy","MDAYearsBetweenRounds","MDAStartYear","ProbGender","PrevalenceAll.average.","PrevalenceAll.5%","PrevalenceAll.95%","Prevalence6_7.average.","Prevalence6_7.5%","Prevalence6_7.95%","PrevalenceFagalii.average.","PrevalenceFagalii.5%","PrevalenceFagalii.95%","PrevalenceIliili.average.","PrevalenceIliili.5%","PrevalenceIliili.95%","Prevalence6_9.average.","Prevalence6_9.5%","Prevalence6_9.95%","Prevalence11_12.average.","Prevalence11_12.5%","Prevalence11_12.95%","Prevalence15_16.average.","Prevalence15_16.5%","Prevalence15_16.95%","Prevalence10AndOver.average.","Prevalence10AndOver.5%","Prevalence10AndOver.95%","Prevalence15AndOver.average.","Prevalence15AndOver.5%","Prevalence15AndOver.95%","Eradicated.average.","Eradicated.5%","Eradicated.95%","PrevUnder001pc.average.","PrevUnder001pc.5%","PrevUnder001pc.95%","PrevUnder01pc.average.","PrevUnder01pc.5%","PrevUnder01pc.95%","PrevUnder05pc.average.","PrevUnder05pc.5%","PrevUnder05pc.95%","PrevUnder1pc.average.","PrevUnder1pc.5%","PrevUnder1pc.95%","AgPrevUnder1pc.average.","AgPrevUnder1pc.5%","AgPrevUnder1pc.95%","AgPrevUnder01pc.average.","AgPrevUnder01pc.5%","AgPrevUnder01pc.95%","AgPrevUnder05pc.average.","AgPrevUnder05pc.5%","AgPrevUnder05pc.95%","AgPrevUnder001pc.average.","AgPrevUnder001pc.5%","AgPrevUnder001pc.95%","AgPrev6_7Under1pc.average.","AgPrev6_7Under1pc.5%","AgPrev6_7Under1pc.95%","Prev_AntigenAll.average.","Prev_Antigen6_7.average.","Prev_Antigen6_9.average.","Prev_AntigenAll.5%","Prev_AntigenAll.95%","Prev_Antigen6_7.5%","Prev_Antigen6_7.95%","Prev_Antigen6_9.5%","Prev_Antigen6_9.95%","RatioAll.average.","Ratio6_7.average.","Ratio15AndOver.average.","RatioAll.5%","Ratio6_7.5%","Ratio15AndOver.5%","RatioAll.95%","Ratio6_7.95%","Ratio15AndOver.95%"
"11",2010,"0.55",4,"IDA5+/DA2-4","Default",1,2018,"0.00071-0.00023",3.557594e-03,3.127360e-03,3.986461e-03,0.000000e+00,0.000000e+00,0.000000e+00,3.471064e-02,1.619430e-02,5.607291e-02,3.513456e-03,2.190920e-03,5.007820e-03,1.152951e-03,3.907010e-04,1.953510e-03,2.233601e-03,8.136700e-04,3.661510e-03,4.863975e-03,2.712130e-03,7.361490e-03,4.521422e-03,3.958667e-03,5.060772e-03,4.892248e-03,4.249806e-03,5.514985e-03,0.000000000,NA,NA,0.000000000,NA,NA,0.000000000,NA,NA,1.000000000,NA,NA,1.000000000,NA,NA,0.000000000,NA,NA,0.000000000,NA,NA,0.000000000,NA,NA,0.000000000,NA,NA,1.000000000,NA,NA,2.318366e-02,0.000000e+00,7.668470e-03,2.212332e-02,0.0243566000,0.0000000000,0.0000000000,0.0056651700,0.0095721800, 6.530172,NA,  6.505647,NA,NA,NA,NA,NA,NA
"12",2010,"0.55",4,"IDA5+/DA2-4","Irvine",1,2018,"0.00071-0.00023",3.594821e-03,3.201860e-03,4.010380e-03,0.000000e+00,0.000000e+00,0.000000e+00,3.409227e-02,1.619430e-02,5.263160e-02,3.483165e-03,2.190920e-03,5.007820e-03,1.186610e-03,5.860520e-04,2.148860e-03,2.563864e-03,8.340115e-04,4.475180e-03,4.892953e-03,2.712130e-03,6.974040e-03,4.566069e-03,4.076836e-03,5.135534e-03,4.932420e-03,4.360195e-03,5.547540e-03,0.000000000,NA,NA,0.000000000,NA,NA,0.000000000,NA,NA,1.000000000,NA,NA,1.000000000,NA,NA,0.000000000,NA,NA,0.000000000,NA,NA,0.000000000,NA,NA,0.000000000,NA,NA,1.000000000,NA,NA,2.319836e-02,0.000000e+00,7.766639e-03,2.218764e-02,0.0242075600,0.0000000000,0.0000000000,0.0058605200,0.0095721800, 6.452938,NA,  6.465107,NA,NA,NA,NA,NA,NA
"13",2010,"0.55",5,"DA2+","Default",1,2018,"0.00071-0.00023",3.597836e-03,3.237730e-03,4.010380e-03,0.000000e+00,0.000000e+00,0.000000e+00,3.378864e-02,1.619430e-02,5.263160e-02,3.400465e-03,1.877930e-03,5.320810e-03,1.180319e-03,3.907010e-04,1.953510e-03,2.467623e-03,1.220500e-03,4.475180e-03,4.812305e-03,3.099570e-03,7.497094e-03,4.570798e-03,4.115418e-03,5.096949e-03,4.932656e-03,4.405481e-03,5.519230e-03,0.000000000,NA,NA,0.000000000,NA,NA,0.000000000,NA,NA,1.000000000,NA,NA,1.000000000,NA,NA,0.000000000,NA,NA,0.000000000,NA,NA,0.000000000,NA,NA,0.000000000,NA,NA,1.000000000,NA,NA,2.325763e-02,0.000000e+00,7.736432e-03,2.223456e-02,0.0242710400,0.0000000000,0.0000000000,0.0058605200,0.0098359025, 6.500003,NA,  6.479418,NA,NA,NA,NA,NA,NA
"14",2010,"0.55",5,"DA2+","Irvine",1,2018,"0.00071-0.00023",3.535643e-03,3.164150e-03,3.936790e-03,0.000000e+00,0.000000e+00,0.000000e+00,3.291236e-02,1.619430e-02,5.263160e-02,3.338550e-03,1.564950e-03,5.320810e-03,1.162385e-03,3.907010e-04,1.953510e-03,2.416719e-03,8.136700e-04,4.068350e-03,4.535632e-03,2.712130e-03,6.586590e-03,4.491482e-03,4.027400e-03,5.016160e-03,4.848250e-03,4.273870e-03,5.434320e-03,0.000000000,NA,NA,0.000000000,NA,NA,0.000000000,NA,NA,1.000000000,NA,NA,1.000000000,NA,NA,0.000000000,NA,NA,0.000000000,NA,NA,0.000000000,NA,NA,0.000000000,NA,NA,1.000000000,NA,NA,2.311828e-02,0.000000e+00,7.774178e-03,2.222260e-02,0.0241726000,0.0000000000,0.0000000000,0.0062512200,0.0095721800, 6.557901,NA,  6.545463,NA,NA,NA,NA,NA,NA
"15",2010,"0.55",5,"IDA5+/DA2-4","Default",1,2018,"0.00071-0.00023",3.587624e-03,3.219340e-03,4.083960e-03,0.000000e+00,0.000000e+00,0.000000e+00,3.445264e-02,1.619430e-02,5.607291e-02,3.663813e-03,2.190920e-03,5.586851e-03,1.155824e-03,5.860520e-04,1.953510e-03,2.530751e-03,8.746945e-04,4.475180e-03,4.888665e-03,2.712130e-03,7.690814e-03,4.560434e-03,4.031017e-03,5.181352e-03,4.923466e-03,4.334717e-03,5.547540e-03,0.000000000,NA,NA,0.000000000,NA,NA,0.000000000,NA,NA,1.000000000,NA,NA,1.000000000,NA,NA,0.000000000,NA,NA,0.000000000,NA,NA,0.000000000,NA,NA,0.000000000,NA,NA,1.000000000,NA,NA,2.319483e-02,0.000000e+00,7.774763e-03,2.201570e-02,0.0242462000,0.0000000000,0.0000000000,0.0058898225,0.0097382275, 6.528939,NA,  6.483883,NA,NA,NA,NA,NA,NA
"16",2010,"0.55",5,"IDA5+/DA2-4","Irvine",1,2018,"0.00071-0.00023",3.538722e-03,3.128280e-03,3.918390e-03,0.000000e+00,0.000000e+00,0.000000e+00,3.445303e-02,1.619430e-02,5.263160e-02,3.484715e-03,1.877930e-03,5.305160e-03,1.175972e-03,3.907010e-04,1.953510e-03,2.503442e-03,1.220500e-03,4.068350e-03,4.710738e-03,2.712130e-03,6.974040e-03,4.493840e-03,3.955050e-03,4.990834e-03,4.849610e-03,4.217260e-03,5.431490e-03,0.000000000,NA,NA,0.000000000,NA,NA,0.000000000,NA,NA,1.000000000,NA,NA,1.000000000,NA,NA,0.000000000,NA,NA,0.000000000,NA,NA,0.000000000,NA,NA,0.000000000,NA,NA,1.000000000,NA,NA,2.318333e-02,0.000000e+00,7.727955e-03,2.211322e-02,0.0242250400,0.0000000000,0.0000000000,0.0058702875,0.0095721800, 6.568189,NA,  6.562703,NA,NA,NA,NA,NA,NA
"17",2010,"0.55",6,"DA2+","Default",1,2018,"0.00071-0.00023",3.548336e-03,3.154030e-03,3.973580e-03,0.000000e+00,0.000000e+00,0.000000e+00,3.528744e-02,1.619430e-02,5.668020e-02,3.464162e-03,1.877930e-03,5.320810e-03,1.177574e-03,3.907010e-04,1.953510e-03,2.388933e-03,8.136700e-04,4.068350e-03,4.915923e-03,2.712130e-03,7.187137e-03,4.506246e-03,3.990014e-03,5.029420e-03,4.865755e-03,4.273870e-03,5.406020e-03,0.000000000,NA,NA,0.000000000,NA,NA,0.000000000,NA,NA,1.000000000,NA,NA,1.000000000,NA,NA,0.000000000,NA,NA,0.000000000,NA,NA,0.000000000,NA,NA,0.000000000,NA,NA,1.000000000,NA,NA,2.320131e-02,0.000000e+00,7.676498e-03,2.203870e-02,0.0242011200,0.0000000000,0.0000000000,0.0058605200,0.0097675300, 6.523239,NA,  6.544833,NA,NA,NA,NA,NA,NA
"18",2010,"0.55",6,"DA2+","Irvine",1,2018,"0.00071-0.00023",3.569030e-03,3.127360e-03,3.973580e-03,0.000000e+00,0.000000e+00,0.000000e+00,3.461988e-02,1.619430e-02,5.263160e-02,3.423404e-03,1.877930e-03,5.320810e-03,1.194678e-03,3.907010e-04,1.953510e-03,2.370490e-03,8.136700e-04,4.068350e-03,4.857720e-03,2.712130e-03,6.974040e-03,4.531262e-03,3.983984e-03,5.088510e-03,4.902084e-03,4.273870e-03,5.490930e-03,0.000000000,NA,NA,0.000000000,NA,NA,0.000000000,NA,NA,1.000000000,NA,NA,1.000000000,NA,NA,0.000000000,NA,NA,0.000000000,NA,NA,0.000000000,NA,NA,0.000000000,NA,NA,1.000000000,NA,NA,2.322878e-02,0.000000e+00,7.667296e-03,2.224100e-02,0.0242425200,0.0000000000,0.0000000000,0.0058605200,0.0095721800, 6.487684,NA,  6.525713,NA,NA,NA,NA,NA,NA
"19",2010,"0.55",6,"IDA5+/DA2-4","Default",1,2018,"0.00071-0.00023",3.569398e-03,3.175190e-03,3.980940e-03,0.000000e+00,0.000000e+00,0.000000e+00,3.369918e-02,1.619430e-02,5.263160e-02,3.471826e-03,1.877930e-03,5.007820e-03,1.210496e-03,3.907010e-04,2.148860e-03,2.485689e-03,8.136700e-04,4.068350e-03,5.012172e-03,2.712130e-03,7.516466e-03,4.529792e-03,3.993632e-03,5.049918e-03,4.880026e-03,4.262546e-03,5.485264e-03,0.000000000,NA,NA,0.000000000,NA,NA,0.000000000,NA,NA,1.000000000,NA,NA,1.000000000,NA,NA,0.000000000,NA,NA,0.000000000,NA,NA,0.000000000,NA,NA,0.000000000,NA,NA,1.000000000,NA,NA,2.321709e-02,0.000000e+00,7.739499e-03,2.207550e-02,0.0242572400,0.0000000000,0.0000000000,0.0058605200,0.0097675300, 6.499994,NA,  6.556813,NA,NA,NA,NA,NA,NA
"20",2010,"0.55",6,"IDA5+/DA2-4","Irvine",1,2018,"0.00071-0.00023",3.550285e-03,3.072170e-03,4.050849e-03,0.000000e+00,0.000000e+00,0.000000e+00,3.291762e-02,1.214570e-02,5.263160e-02,3.378394e-03,1.877930e-03,5.007820e-03,1.176030e-03,5.860520e-04,1.953510e-03,2.404208e-03,8.136700e-04,4.475180e-03,4.923883e-03,2.712130e-03,6.974040e-03,4.508991e-03,3.882700e-03,5.160850e-03,4.874504e-03,4.157820e-03,5.505082e-03,0.000000000,NA,NA,0.000000000,NA,NA,0.000000000,NA,NA,1.000000000,NA,NA,1.000000000,NA,NA,0.000000000,NA,NA,0.000000000,NA,NA,0.000000000,NA,NA,0.000000000,NA,NA,1.000000000,NA,NA,2.316888e-02,0.000000e+00,7.778686e-03,2.203870e-02,0.0242480400,0.0000000000,0.0000000000,0.0060558700,0.0099628800, 6.542108,NA,  6.499996,NA,NA,NA,NA,NA,NA
