"","Year","MDACoverageAttempted","MDANumRounds","MDADrugs","MDADrugEfficacy","MDAYearsBetweenRounds","MDAStartYear","ProbGender","RatioAll","Ratio6_7","Ratio15AndOver","Prev_AntigenAll","Prev_Antigen6_7","Prev_Antigen15AndOver","AgEradicated","AgPrevUnder001pc","AgPrevUnder01pc","AgPrevUnder1pc","PrevalenceAll","Prevalence6_7","Eradicated","PrevalenceFagalii","PrevalenceIliili","PrevUnder001pc","PrevUnder01pc","PrevUnder1pc"
"23",2010,"0.55",3,"IDA5+/DA2-4","Default",1,2018,"0-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0035377114516129,0,0,0.0325845575806452,0.00342268661290323,0,0,1
"24",2010,"0.55",3,"IDA5+/DA2-4","Default",1,2018,"0.0012-0.00032",6.37806728349631,NA,6.40643272437262,0.0230345763636364,0,0.0315723290909091,0,0,0,0,0.00357873290909091,0,0,0.0334192042727273,0.00344003427272727,0,0,1
"25",2010,"0.55",3,"IDA5+/DA2-4","Default",1,2018,"0.0016-0.00035",6.4690784478,NA,6.51785582845955,0.0230518018181818,0,0.0316199303030303,0,0,0,0,0.00355459527272727,0,0,0.0343516066666667,0.00340114751515151,0,0,1
"26",2010,"0.55",3,"IDA5+/DA2-4","Default",1,2018,"0.002-0.00041",6.52893737040321,NA,6.52225789878682,0.0230013142857143,0,0.0315849657142857,0,0,0,0,0.00354376814285714,0,0,0.03293811,0.00345405745714286,0,0,1
"27",2010,"0.55",3,"IDA5+/DA2-4","Irvine",1,2018,"0-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003557295,0,0,0.0357842403225806,0.00329648112903226,0,0,1
"28",2010,"0.55",3,"IDA5+/DA2-4","Irvine",1,2018,"0.002-0.00041",6.39134313057662,NA,6.38988211541425,0.0230469358333333,0,0.0315707166666667,0,0,0,0,0.00361623658333333,0,0,0.034986505,0.003275952225,0,0,1
"29",2010,"0.55",4,"DA2+","Default",1,2018,"0-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0036030831,0,0,0.0347773247,0.00347730807,0,0,1
"30",2010,"0.55",4,"DA2+","Default",1,2018,"0.0012-0.00032",6.52308909088132,NA,6.51611319635719,0.0230263745454545,0,0.0315496781818182,0,0,0,0,0.00353525145454545,0,0,0.0343393415454545,0.00347702381818182,0,0,1
"31",2010,"0.55",4,"DA2+","Default",1,2018,"0.0016-0.00035",6.52719430411534,NA,6.50866426361418,0.0230562624242424,0,0.0316113509090909,0,0,0,0,0.00353675624242424,0,0,0.0333455964848485,0.00340683844848485,0,0,1
"32",2010,"0.55",4,"DA2+","Default",1,2018,"0.002-0.00041",6.45675024899554,NA,6.47607817223709,0.0231628092857143,0,0.0318077578571429,0,0,0,0,0.00357162585714286,0,0,0.0331116235714286,0.00353230493571429,0,0,1
"33",2010,"0.55",4,"DA2+","Irvine",1,2018,"0-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00355636436893204,0,0,0.0351008145631068,0.00346111213592233,0,0,1
"34",2010,"0.55",4,"DA2+","Irvine",1,2018,"0.002-0.00041",6.44355753362385,NA,6.43185456129741,0.0230676308333333,0,0.0316306258333333,0,0,0,0,0.00356840575,0,0,0.0351889316666667,0.00347417833333333,0,0,1
"35",2010,"0.55",4,"IDA5+","Default",1,2018,"0-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00354483897959184,0,0,0.0331322775510204,0.00332790418367347,0,0,1
"36",2010,"0.55",4,"IDA5+","Irvine",1,2018,"0-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00358613693877551,0,0,0.0296620585714286,0.00338539183673469,0,0,1
"37",2010,"0.55",4,"IDA5+/DA2-4","Default",1,2018,"0-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00355606058823529,0,0,0.0356434006862745,0.00346129055882353,0,0,1
"38",2010,"0.55",4,"IDA5+/DA2-4","Default",1,2018,"0.0012-0.00032",6.46409794662221,NA,6.46830051908652,0.0229835645454545,0,0.0314938509090909,0,0,0,0,0.00355615618181818,0,0,0.0345233690909091,0.00345426033636364,0,0,1
"39",2010,"0.55",4,"IDA5+/DA2-4","Default",1,2018,"0.0016-0.00035",6.4354852850922,NA,6.39012051373639,0.0230121109090909,0,0.0315194006060606,0,0,0,0,0.00358224539393939,0,0,0.0342043865454545,0.00330630237575758,0,0,1
"40",2010,"0.55",4,"IDA5+/DA2-4","Default",1,2018,"0.002-0.00041",6.46963941227438,NA,6.44379543121633,0.0230152428571429,0,0.0315966935714286,0,0,0,0,0.0035552005,0,0,0.0328513563571429,0.00336463197857143,0,0,1
"41",2010,"0.55",4,"IDA5+/DA2-4","Irvine",1,2018,"0-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00352954931372549,0,0,0.0326665024509804,0.00349811264705882,0,0,1
"42",2010,"0.55",4,"IDA5+/DA2-4","Irvine",1,2018,"0.002-0.00041",6.52125736975711,NA,6.52690250263801,0.0230855641666667,0,0.0316759141666667,0,0,0,0,0.00355169633333333,0,0,0.0343792089166667,0.00335680725,0,0,1
"43",2010,"0.55",5,"DA2+","Default",1,2018,"0-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003576020625,0,0,0.0334570368055556,0.003492870625,0,0,1
"44",2010,"0.55",5,"DA2+","Default",1,2018,"0.0012-0.00032",6.35037598963323,NA,6.29454634414156,0.0230710290909091,0,0.0316659827272727,0,0,0,0,0.00363726672727273,0,0,0.0338240685454545,0.0035566937,0,0,1
"45",2010,"0.55",5,"DA2+","Default",1,2018,"0.0016-0.00035",6.47209613553897,NA,6.49404945920425,0.02302326,0,0.03158922,0,0,0,0,0.00356652484848485,0,0,0.0337136513333333,0.00343149804242424,0,0,1
"46",2010,"0.55",5,"DA2+","Default",1,2018,"0.002-0.00041",6.45289066616608,NA,6.42635689120332,0.0231525614285714,0,0.0317859214285714,0,0,0,0,0.00357845864285714,0,0,0.0324754155714286,0.00359490283571429,0,0,1
"47",2010,"0.55",5,"DA2+","Irvine",1,2018,"0-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00355946956834532,0,0,0.0319808900719424,0.00336857254676259,0,0,1
